group,param_value,accuracy,duration_sec
Learning Rate,0.001,51.93434935521688,63.29714560508728
Learning Rate,0.005,42.32121922626026,57.614293813705444
Learning Rate,0.0001,54.161781946072686,71.2985155582428
Learning Rate,1e-05,40.328253223915596,82.71826839447021
Optimizer,Adam,51.93434935521688,79.85439682006836
Optimizer,SGD,50.7620164126612,74.03510999679565
Kernel Config,"Filters:128, Sizes:[2, 3, 4]",52.989449003517,98.42948770523071
Kernel Config,"Filters:128, Sizes:[3, 4, 5]",52.989449003517,100.55890846252441
Kernel Config,"Filters:256, Sizes:[3, 4, 5]",54.04454865181712,86.19975471496582
Kernel Config,"Filters:128, Sizes:[2, 3, 4, 5]",53.575615474794844,65.42779684066772
Embedding Initialization,With Glove,53.92731535756155,63.4705753326416
Embedding Initialization,Random Init,42.20398593200469,56.327794313430786
Model Architecture,TextCNN,56.15474794841735,172.75340175628662
Model Architecture,TextRNN,52.87221570926143,479.0699727535248
Model Architecture,TextTransformer,42.790152403282534,326.51407051086426
